token,meat_count,no_meat_count
dar,2,0
dat,0,2
datlo,0,1
davany,1,0
day,0,1
de,1,0
debrecena,5,0
debrecinsky,12,0
dedinsky,1,0
deep,2,2
deer,1,0
dekorovany,1,0
delena,2,0
delikatesa,2,0
delles,1,0
dem,22,2
demiglaci,5,0
demiglao,1,0
demiglas,1,0
demiglasy,1,0
demikat,4,9
den,3,3
denne,1,1
denny,10,13
desert,0,1
desiatovy,9,1
dessert,0,1
detvan,1,0
detvianska,1,0
detviansky,6,2
devit,1,0
dezert,9,11
dhat,0,1
diablo,2,0
diabolsky,18,1
diana,3,0
diavola,6,1
diavolo,0,2
dijon,3,1
dijonskej,0,1
dijonskou,2,1
dijonsky,17,1
dill,1,0
dinstovany,1,0
dionsky,0,1
dip,54,36
dipp,1,0
dit,6,9
diviaci,2,0
diviak,17,0
divina,5,1
divinove,1,0
divinovy,35,2
divoka,0,1
divoko,2,0
divoky,2,1
divy,0,1
djuviect,1,0
dla,0,1
doblok,1,1
dobro,1,0
dobry,6,1
dochuteny,2,5
dog,2,0
dolka,2,5
dollar,1,1
dolny,1,0
domaca,57,18
domacapareny,1,0
domace,1,1
domaci,417,204
domacimi,1,0
domacou,0,1
domak,3,0
domazlicky,1,0
donald,1,0
donovalsky,1,0
doplneny,1,0
doprava,4,6
doruzova,1,0
dough,5,0
dr,1,1
draci,1,0
drak,1,0
drbak,0,1
dres,3,0
dresing,110,43
dresingom,1,0
dresning,1,0
dressig,0,1
dressing,209,90
dressingdruh,0,1
dressingom,2,11
dressit,1,0
dresso,0,1
dresssing,0,1
drevo,2,0
drevorubacsky,3,1
drezing,12,4
drobkovy,0,2
drobky,3,0
drobny,2,0
drotarsky,1,0
drozdie,0,1
drozdovy,0,2
drtit,4,1
druh,16,26
druhy,0,2
drven,1,0
drveny,8,4
drvit,14,1
drzka,2,0
drzkova,2,0
drzkovy,34,0
drzky,1,0
dubak,10,8
dubakova,1,0
dubakovo,0,1
dubakovy,28,4
dubovy,3,0
duck,1,0
dukat,11,2
dukatik,2,5
dukatovy,2,64
dula,1,0
dulovy,0,1
dumbierat,0,1
dumpliing,1,0
dumpling,9,0
dumplings,4,3
dunajsky,0,1
duo,4,10
dus,1,0
dusena,24,1
dusene,1,0
duseny,723,53
dusit,13,0
dutch,1,0
dva,3,1
dvojfarebny,3,0
dvojicky,0,1
dvojity,5,0
dy,6,0
dzem,1,61
dzemovy,0,1
dzus,1,2
dzuviect,0,1
e,15,10
econom,2,3
egg,5,4
eggchees,0,2
eggplant,0,2
eggs,0,1
eidam,20,20
ekvicovy,0,1
el,2,0
ela,1,0
eleninovy,0,1
emental,13,1
ementalovy,1,0
emiakovy,1,1
emlovka,0,1
emulzia,1,0
enchilada,1,0
enchiladas,2,0
encian,52,181
enciana,1,0
encianovy,1,1
england,1,0
eno,2,0
enoky,1,0
epinader,0,1
espanola,1,0
espuma,0,1
esterhaza,1,0
estragon,4,0
eur,50,6
euro,7,6
exclusivo,0,1
exklusivo,1,0
expresso,1,0
extra,5,4
eye,2,0
ezert,0,1
fajitas,3,0
fajitasit,3,0
fajnovy,1,0
fajnsmeker,1,0
falafiet,0,4
falafl,0,1
falosnej,1,0
falosnwt,1,0
falosny,11,2
fanka,0,4
fantasit,2,0
fantazia,2,0
fararsky,1,0
farba,2,0
farebny,14,7
farfale,4,0
farfall,18,17
farfalle,2,0
farmarsky,6,1
farmer,1,0
farsky,0,1
fasa,1,0
fasirka,71,19
fasirkaks,1,0
fatoria,1,0
favat,1,0
fazul,2,1
fazula,37,24
fazule,1,0
fazulka,53,9
fazulkach,2,0
fazulkovy,14,23
fazulou,1,0
fazuloug,1,0
fazulov,1,3
fazulova,1,5
fazulove,1,1
fazulovica,3,1
fazulovy,131,156
fazulovymi,2,0
fazut,1,0
fefer,1,0
feferon,33,0
feferona,1,0
feferonka,12,2
feferonovy,2,0
felicita,0,1
fenikel,14,4
feniklovo,1,0
feniklovy,2,1
fenniet,1,0
ferdinand,0,1
feta,29,49
fetou,1,0
fettuccina,3,2
fettucini,0,1
fetucin,1,1
fetucinne,0,1
fiaker,1,0
fialovy,2,1
figa,1,2
figovy,3,0
fil,4,0
file,75,1
filet,83,0
filetka,2,1
filety,1,0
filled,7,3
fillet,5,0
filleto,1,0
filling,1,1
finocchiona,1,0
finsky,1,0
fiorentina,1,0
fis,0,1
fish,15,0
fit,13,16
fitnes,3,0
fitness,1,2
fitt,1,0
fittnes,0,1
flakes,11,0
flaks,1,0
flambovany,0,2
flamender,1,0
flamenderv,0,1
flamera,0,1
flamsko,1,0
flan,2,0
flank,12,0
fleks,1,0
fliacik,6,8
fliacka,2,6
florida,4,0
focaccio,2,0
food,9,2
forestra,2,0
formaaggi,0,1
formaggi,5,42
formaggidruh,0,3
formaggio,1,0
formaggiodruh,0,1
formaghi,2,3
formaghidruh,0,1
formagi,0,3
formagia,0,1
formagidruh,0,1
formagio,0,1
forte,0,1
fout,1,0
fr,1,1
fra,2,0
fracuzsky,0,1
fragiolo,1,0
fraicha,3,4
frais,1,0
fraischa,1,0
fran,0,2
francesec,1,0
francuzka,0,4
francuzke,0,1
francuzky,2,5
francuzska,1,2
francuzske,0,2
francuzsko,7,45
francuzsky,23,66
francuzskym,0,3
franfurktsky,1,0
franfurtsky,1,0
frankfursky,3,0
frankfurt,3,0
frankfurtska,2,0
frankfurtsky,103,1
franuzsky,1,0
frecha,0,1
fren,5,2
french,0,1
fres,1,0
fresh,4,29
fricassy,1,0
fridatov,3,0
fridatovy,2,0
frieda,17,9
friesit,3,0
frikasy,1,0
fritata,1,1
fritovany,8,4
from,16,2
fruit,1,5
fruitt,1,0
frutt,1,0
funghi,38,16
fungi,0,1
furkotsky,1,0
furman,1,2
furmanska,1,0
furmansky,14,4
fusilt,12,12
fusit,0,1
fuso,1,0
fussila,0,2
